,home_team,away_team,result,goals_h,goals_a,round,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
170,Górnik Zabrze,Wisła Kraków,D,0,0,5,54,46,17,13,3,2,14,11,,,,,9,5,2,8,,,2,3,18,15,,,2.0,3.0,,,348.0,248.0,,,97.0,99.0,92.0,84.0,1.64,5.7200000000000015,4.025,2020-09-25
235,Wisła Płock,Warta Poznań,A,1,3,5,53,47,14,18,5,6,9,12,,,,,5,3,1,1,,,3,4,15,14,,,1.0,2.0,,,318.0,289.0,,,104.0,105.0,67.0,50.0,2.085,3.885,3.36,2020-09-25
169,Cracovia,Raków Częstochowa,D,2,2,5,59,41,19,17,8,6,11,11,,,,,7,4,0,1,,,4,6,19,12,,,3.0,1.0,,,394.0,229.0,,,81.0,79.0,76.0,52.0,2.79,2.675,3.35,2020-09-26
167,Jagiellonia Białystok,Zagłębie Lubin,A,0,1,5,59,41,16,11,1,5,15,6,,,,,2,5,1,5,,,4,1,9,13,,,1.0,3.0,,,510.0,309.0,,,104.0,72.0,69.0,48.0,2.35,3.165,3.425,2020-09-26
168,Lechia Gdańsk,Podbeskidzie B-B,H,4,0,5,63,37,19,6,8,0,11,6,,,,,9,5,2,2,,,0,4,10,17,,,2.0,3.0,,,468.0,232.0,,,106.0,75.0,99.0,52.0,1.78,4.77,3.825,2020-09-26
166,Stal Mielec,Piast Gliwice,H,3,2,5,44,56,8,22,4,5,4,17,,,,,3,12,1,0,,,3,1,8,17,,,0.0,3.0,,,287.0,432.0,,,76.0,94.0,62.0,100.0,3.27,2.28,3.475,2020-09-28
165,Śląsk Wrocław,Cracovia,H,3,1,6,47,53,20,16,9,6,11,10,,,,,8,8,1,2,,,5,6,15,12,1.0,0.0,2.0,3.0,,,227.0,298.0,,,84.0,79.0,88.0,69.0,2.36,3.215,3.41,2020-10-02
234,Raków Częstochowa,Wisła Płock,H,3,0,6,52,48,10,5,7,0,3,5,,,,,3,3,1,1,,,0,4,19,16,,,1.0,3.0,,,387.0,396.0,,,140.0,128.0,95.0,57.0,1.6749999999999998,5.25,4.085,2020-10-02
163,Zagłębie Lubin,Górnik Zabrze,H,2,0,6,38,62,6,13,2,7,4,6,,,,,2,2,9,0,,,7,1,16,12,,,1.0,1.0,,,312.0,519.0,,,93.0,180.0,53.0,124.0,2.56,2.885,3.375,2020-10-03
164,Podbeskidzie B-B,Stal Mielec,H,1,0,6,47,53,11,9,4,2,7,7,,,,,5,3,2,0,,,2,3,11,14,,,1.0,1.0,,,373.0,490.0,,,74.0,76.0,48.0,52.0,2.56,2.84,3.45,2020-10-03
162,Piast Gliwice,Lech Poznań,A,1,4,6,45,55,11,18,4,9,7,9,,,,,3,5,3,0,,,5,3,11,10,,,4.0,2.0,,,436.0,480.0,,,98.0,102.0,67.0,81.0,3.165,2.375,3.375,2020-10-04
160,Jagiellonia Białystok,Lech Poznań,H,2,1,7,34,66,7,19,4,4,3,15,,,,,7,4,3,5,,,3,2,18,7,,,2.0,2.0,,,246.0,525.0,,,95.0,129.0,59.0,95.0,4.225,1.855,3.9,2020-10-17
233,Cracovia,Piast Gliwice,H,1,0,7,44,56,7,19,3,8,4,11,,,,,1,8,0,1,,,8,2,19,11,,,5.0,4.0,,,311.0,384.0,,,70.0,77.0,37.0,68.0,2.535,2.975,3.325,2020-10-17
161,Górnik Zabrze,Raków Częstochowa,A,1,3,7,60,40,9,16,3,8,6,8,,,,,4,10,1,1,,,5,2,21,12,,,3.0,0.0,,,385.0,246.0,,,106.0,100.0,55.0,86.0,2.7,2.7,3.435,2020-10-17
159,Wisła Płock,Śląsk Wrocław,H,1,0,7,56,44,12,15,2,4,10,11,,,,,5,5,0,1,,,4,1,26,12,,,,,,,379.0,320.0,,,105.0,112.0,72.0,74.0,3.075,2.5250000000000004,3.25,2020-10-18
158,Stal Mielec,Wisła Kraków,A,0,6,7,46,54,12,20,6,14,6,6,,,,,2,5,2,1,,,8,6,12,15,,,2.0,1.0,,,316.0,463.0,,,75.0,96.0,57.0,51.0,2.875,2.6,3.375,2020-10-18
157,Legia Warszawa,Zagłębie Lubin,H,2,1,7,58,42,21,10,3,3,18,7,,,,,7,3,1,3,,,2,1,15,9,,,1.0,1.0,,,487.0,346.0,,,102.0,81.0,87.0,50.0,1.74,4.775,4.1,2020-10-18
156,Podbeskidzie B-B,Warta Poznań,A,1,2,7,55,45,13,8,4,3,9,5,,,,,4,2,3,2,,,1,3,19,15,,,2.0,3.0,,,366.0,337.0,,,104.0,103.0,78.0,75.0,2.425,3.05,3.425,2020-10-19
155,Lechia Gdańsk,Pogoń Szczecin,A,0,1,7,60,40,11,12,2,5,9,7,,,,,6,7,2,1,,,4,2,20,13,,,3.0,3.0,,,464.0,286.0,,,100.0,90.0,88.0,60.0,2.45,2.95,3.4850000000000003,2020-10-19
232,Legia Warszawa,Śląsk Wrocław,H,2,1,5,63,37,20,6,3,2,17,4,,,,,12,2,1,2,,,1,1,13,17,,,1.0,1.0,,,422.0,266.0,,,89.0,74.0,69.0,33.0,1.68,5.225,4.074999999999998,2020-10-21
231,Piast Gliwice,Wisła Płock,D,2,2,8,60,40,14,8,5,5,9,3,,,,,3,2,3,1,,,3,3,6,22,,,,,,,524.0,312.0,,,142.0,89.0,113.0,56.0,2.0,4.05,3.4850000000000003,2020-10-23
154,Zagłębie Lubin,Lechia Gdańsk,D,1,1,8,43,57,10,22,4,6,6,16,,,,,3,9,0,0,,,5,3,18,11,,,2.0,1.0,,,332.0,450.0,,,94.0,118.0,58.0,116.0,2.31,3.15,3.5250000000000004,2020-10-23
153,Wisła Kraków,Podbeskidzie B-B,H,3,0,8,50,50,13,16,7,6,6,10,,,,,6,8,1,2,,,6,4,14,16,0.0,1.0,3.0,2.0,,,356.0,298.0,,,77.0,84.0,64.0,85.0,1.775,4.6,3.95,2020-10-24
152,Śląsk Wrocław,Jagiellonia Białystok,H,1,0,8,51,49,14,12,3,3,11,9,,,,,7,4,3,1,,,3,2,15,17,,,1.0,1.0,,,208.0,123.0,,,116.0,117.0,52.0,61.0,2.375,3.1,3.45,2020-10-24
151,Pogoń Szczecin,Legia Warszawa,D,0,0,8,40,60,7,15,1,4,6,11,,,,,4,7,2,0,,,4,1,8,10,,,0.0,3.0,,,,,,,74.0,95.0,59.0,82.0,3.7,2.1100000000000003,3.455,2020-10-24
149,Lech Poznań,Cracovia,D,1,1,8,66,34,22,11,10,2,12,9,,,,,9,6,0,2,,,1,9,17,20,,,6.0,4.0,,,460.0,218.0,,,91.0,78.0,79.0,43.0,1.645,5.15,4.325,2020-10-25
150,Raków Częstochowa,Stal Mielec,H,2,1,8,41,59,20,6,8,4,12,2,,,,,11,1,1,1,,,3,6,19,15,,,2.0,2.0,,,325.0,507.0,,,88.0,119.0,81.0,57.0,1.4249999999999998,7.575,5.035,2020-10-25
148,Warta Poznań,Górnik Zabrze,A,0,1,8,56,44,6,14,2,6,4,8,,,,,4,6,1,2,,,5,2,9,20,,,1.0,1.0,,,400.0,263.0,,,102.0,101.0,47.0,62.0,3.225,2.325,3.41,2020-10-26
230,Wisła Kraków,Lechia Gdańsk,A,1,3,6,52,48,16,18,5,7,11,11,,,,,7,6,2,2,,,4,4,14,18,,,3.0,1.0,,,386.0,341.0,,,90.0,85.0,66.0,67.0,2.71,2.7350000000000003,3.335,2020-10-28
147,Pogoń Szczecin,Jagiellonia Białystok,H,3,0,6,58,42,17,3,7,2,10,1,,,,,10,3,1,1,,,2,4,17,20,,,1.0,1.0,,,381.0,360.0,,,84.0,73.0,82.0,50.0,2.21,3.475,3.425,2020-10-30
