,home_team,away_team,result,goals_h,goals_a,ball_poss_h,ball_poss_a,goal_attempts_h,goal_attempts_a,shots_on_h,shots_on_a,shots_off_h,shots_off_a,shots_blocked_h,shots_blocked_a,free_kicks_h,free_kicks_a,corner_kicks_h,corner_kicks_a,offsides_h,offsides_a,thorw-in_h,thorw-in_a,goalkeeper_saves_h,goalkeeper_saves_a,fouls_h,fouls_a,yellow_h,yellow_a,red_h,red_a,passes_h,passes_a,passes_completed_h,passes_completed_a,tackles_h,tackles_a,attacks_h,attacks_a,attacks_dang_h,attacks_dang_a,odds_avg_h,odds_avg_a,odds_avg_d,date
55,Odra Opole,Stal Mielec,H,1,0,49,51,8,15,2,6,3,6,3.0,3.0,24,21,3,5,1.0,2.0,,,6,1,20.0,22.0,,,3,1,,,,,,,83,85,41,49,3.63,2.03,3.41,2019-10-24
54,GKS Tychy,Warta Poznań,D,1,1,41,59,12,14,3,5,7,6,2.0,3.0,15,24,3,8,2.0,2.0,,,4,2,22.0,13.0,,,5,4,,,,,,,70,100,45,72,2.23,3.135,3.41,2019-10-26
53,Chrobry Głogów,Stal Mielec,H,1,0,49,51,14,15,4,3,6,7,4.0,5.0,3,17,6,2,0.0,0.0,,,3,3,17.0,3.0,,,1,0,,,,,,,81,68,31,41,3.0650000000000004,2.255,3.455,2019-10-27
52,Odra Opole,Podbeskidzie B-B,A,0,2,52,48,4,13,1,5,3,6,0.0,2.0,26,17,3,7,2.0,0.0,,,3,1,15.0,26.0,,,3,3,,,,,,,69,70,24,51,3.08,2.31,3.33,2019-10-27
51,Podbeskidzie B-B,Sandecja Nowy Sącz,H,3,1,66,34,18,5,10,2,6,1,2.0,2.0,16,18,8,1,0.0,3.0,,,1,7,18.0,13.0,,,1,2,,,,,,,79,61,52,28,1.75,4.46,3.775,2019-11-03
50,Warta Poznań,Chojniczanka,H,2,0,59,41,18,9,5,2,4,3,9.0,4.0,30,17,6,4,2.0,4.0,,,2,3,15.0,26.0,,,1,4,,,,,,,92,74,54,41,1.89,3.895,3.625,2019-11-03
49,Stal Mielec,Zagłębie Sosnowiec,D,1,1,64,36,15,10,6,4,8,2,1.0,4.0,21,12,6,6,1.0,1.0,,,3,5,11.0,20.0,,,2,2,,,,,,,106,64,61,40,1.735,4.74,3.65,2019-11-03
47,Chojniczanka,Stal Mielec,A,0,2,54,46,10,11,1,8,6,3,3.0,0.0,20,24,2,12,4.0,4.0,,,6,1,20.0,17.0,,,0,3,,,,,,,109,81,69,64,3.285,2.135,3.4850000000000003,2019-11-09
48,Stomil Olsztyn,Warta Poznań,A,1,3,48,52,14,11,7,4,4,2,3.0,5.0,15,17,3,3,2.0,0.0,,,1,6,15.0,14.0,0.0,1.0,4,5,,,,,,,62,67,40,35,2.705,2.61,3.2350000000000003,2019-11-09
46,Chrobry Głogów,Podbeskidzie B-B,D,1,1,42,58,3,16,1,2,2,14,0.0,0.0,17,15,2,10,0.0,0.0,,,1,0,16.0,17.0,,,3,2,,,,,,,62,87,22,41,3.68,2.015,3.425,2019-11-10
